name,slug,region
Afghanistan,afghanistan,South Asia
Albania,albania,Europe
Algeria,algeria,Africa
American Samoa,american-samoa,Australia and Oceania
Andorra,andorra,Europe
Angola,angola,Africa
Anguilla,anguilla,Central America and the Caribbean
Antarctica,antarctica,Antarctica
Antigua and Barbuda,antigua-and-barbuda,Central America and the Caribbean
Argentina,argentina,South America
Armenia,armenia,Middle East
Aruba,aruba,Central America and the Caribbean
Ashmore and Cartier Islands,ashmore-and-cartier-islands,Australia and Oceania
Australia,australia,Australia and Oceania
Austria,austria,Europe
Azerbaijan,azerbaijan,Middle East
"Bahamas, The",bahamas-the,Central America and the Caribbean
Bahrain,bahrain,Middle East
Bangladesh,bangladesh,South Asia
Barbados,barbados,Central America and the Caribbean
Belarus,belarus,Europe
Belgium,belgium,Europe
Belize,belize,Central America and the Caribbean
Benin,benin,Africa
Bermuda,bermuda,North America
Bhutan,bhutan,South Asia
Bolivia,bolivia,South America
Bosnia and Herzegovina,bosnia-and-herzegovina,Europe
Botswana,botswana,Africa
Bouvet Island,bouvet-island,Antarctica
Brazil,brazil,South America
British Indian Ocean Territory,british-indian-ocean-territory,South Asia
British Virgin Islands,british-virgin-islands,Central America and the Caribbean
Brunei,brunei,East and Southeast Asia
Bulgaria,bulgaria,Europe
Burkina Faso,burkina-faso,Africa
Burma,burma,East and Southeast Asia
Burundi,burundi,Africa
Cabo Verde,cabo-verde,Africa
Cambodia,cambodia,East and Southeast Asia
Cameroon,cameroon,Africa
Canada,canada,North America
Cayman Islands,cayman-islands,Central America and the Caribbean
Central African Republic,central-african-republic,Africa
Chad,chad,Africa
Chile,chile,South America
China,china,East and Southeast Asia
Christmas Island,christmas-island,Australia and Oceania
Clipperton Island,clipperton-island,North America
Cocos (Keeling) Islands,cocos-keeling-islands,Australia and Oceania
Colombia,colombia,South America
Comoros,comoros,Africa
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,Africa
"Congo, Republic of the",congo-republic-of-the,Africa
Cook Islands,cook-islands,Australia and Oceania
Coral Sea Islands,coral-sea-islands,Australia and Oceania
Costa Rica,costa-rica,Central America and the Caribbean
Cote d'Ivoire,cote-divoire,Africa
Croatia,croatia,Europe
Cuba,cuba,Central America and the Caribbean
Curacao,curacao,Central America and the Caribbean
Cyprus,cyprus,Europe
Czechia,czechia,Europe
Denmark,denmark,Europe
Dhekelia,dhekelia,Europe
Djibouti,djibouti,Africa
Dominica,dominica,Central America and the Caribbean
Dominican Republic,dominican-republic,Central America and the Caribbean
Ecuador,ecuador,South America
Egypt,egypt,Africa
El Salvador,el-salvador,Central America and the Caribbean
Equatorial Guinea,equatorial-guinea,Africa
Eritrea,eritrea,Africa
Estonia,estonia,Europe
Eswatini,eswatini,Africa
Ethiopia,ethiopia,Africa
Falkland Islands (Islas Malvinas),falkland-islands-islas-malvinas,South America
Faroe Islands,faroe-islands,Europe
Fiji,fiji,Australia and Oceania
Finland,finland,Europe
France,france,Europe
French Polynesia,french-polynesia,Australia and Oceania
Gabon,gabon,Africa
"Gambia, The",gambia-the,Africa
Gaza Strip,gaza-strip,Middle East
Georgia,georgia,Middle East
Germany,germany,Europe
Ghana,ghana,Africa
Gibraltar,gibraltar,Europe
Greece,greece,Europe
Greenland,greenland,North America
Grenada,grenada,Central America and the Caribbean
Guam,guam,Australia and Oceania
Guatemala,guatemala,Central America and the Caribbean
Guernsey,guernsey,Europe
Guinea,guinea,Africa
Guinea-Bissau,guinea-bissau,Africa
Guyana,guyana,South America
Haiti,haiti,Central America and the Caribbean
